"Subject_ID","Trait_4","Trait_5","Trait_6","Trait_7","Trait_8","Trait_9","Trait_10","Trait_11","Trait_12","Trait_13","Trait_14","Trait_15","Trait_16","Trait_17","Trait_18","Trait_19","Trait_20","Trait_21","Trait_22","Trait_23","Trait_24","Trait_27","Trait_28","Trait_29","Trait_30","Trait_31","Trait_33","Trait_34","Trait_35","Trait_36","Trait_37","Trait_40","Trait_44","Trait_45","Trait_46","Trait_47","Trait_50","Trait_53","Trait_54","Trait_55","Trait_56","Trait_73","Trait_79","Trait_80","Trait_81","Trait_82","Trait_83","Trait_84","Trait_85","Trait_86","Trait_88","Trait_89","Trait_90","Trait_91","Trait_92","Trait_93","Trait_94","Trait_95","Trait_96","Trait_97","Trait_98","Trait_99","Trait_100","Trait_101","Trait_102","Trait_103","Trait_104","Trait_105","Trait_106","Trait_107","Trait_108","Trait_109","Trait_110","Trait_111","Trait_112","Trait_113","Trait_114","Trait_115","Trait_116","Trait_117","Trait_118","Trait_119","Trait_120","Trait_121","Trait_122","Trait_123","Trait_124","Trait_125","Trait_126","Trait_127","Trait_128","Trait_135","Trait_138","Trait_139","Trait_140","Trait_143","Trait_144","Trait_145","Trait_146","Trait_147","Trait_148","Trait_149","Trait_150","Trait_151","Trait_152","Trait_153","Trait_154","Trait_155","Trait_156","Trait_157","Trait_158","Trait_159","Trait_160","Trait_161","Trait_162","Trait_163","Trait_164","Trait_167","Trait_168","Trait_169","Trait_170","Trait_171","Trait_175"
100004,109.9589,96.91405,111.1118,104.9375,37,1290,92.72,69.88,153.13,46.88,21.88,9.38,21.88,21.88,24375,625,625,625,625,0.12181146,0.067448124,31,53,119,1,7,0.8833,0.9917,10,85.26,96.99,14,121.97,111.01,83.77,96.14,1.31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,60,4,57,1,51,1,50,6,55,7,57,2,51,3,53,12,5,15,58,12,54,19,46,53,7,59,3,51,0,50,6,64,5,53,1,9,62,0,0,45.9,20,10,1.8,36,1880,7,6,8,8,7,49.3,62.2,52.2,51.2,57.3,53.7,55.4,39.6,43.1,40.1,36.2,27.6,73,60,70.4,25,15,28,24,25,8
100206,113.546,103.4441,119.8914,117.0361,34,1475,138.72,131.89,78.13,34.38,9.38,21.88,21.88,9.38,625,625,3125,625,625,0.09707188,0.05000021,26,58,115,5,2,0.9667,0.9583,9,103.57,112.89,16,130.42,116.55,94.23,106.61,1.24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,67,8,69,10,70,7,68,12,61,8,59,5,57,5,60,16,9,34,70,18,59,35,87,64,11,67,7,61,7,69,7,67,12,64,6,6,57,2,0,49.7,20,10,1.84,38,1545,7,7,8,8,8,54.8,61.7,43.4,63.3,61.2,55,57.8,44,45.6,50,48.4,45.7,63.8,63.8,64.8,31,23,26,21,32,6
100307,111.07,98.73,107.2,96.81,35,1442,122.65,112.36,103.13,46.88,103.13,21.88,21.88,9.38,29375,24375,9375,9375,9375,0.16217604,0.31145853,29,59,115,5,1,0.9833,0.9583,11,98.44,108.06,16,112.56,101.9,105.21,118.68,1.58,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,50,0,50,0,50,1,50,1,50,3,51,1,51,1,50,8,2,3,39,5,46,10,18,40,1,50,3,50,0,50,1,50,4,51,3,2,51,0,0,38.6,20,12,1.76,39,1471,8,8,8,8,7,46.9,60.8,43.4,53.9,47.2,53.4,57.9,37.5,48,42.4,46.2,62,53.7,52.7,54.1,33,24,35,15,37,4
100408,131.81,125.64,134.24,132.63,37,1450.75,107.08,96,153.13,46.88,46.88,46.88,46.88,9.38,29375,24375,19375,18125,4375,0.20306146,0.42135438,17,52,110,10,8,0.8667,0.9167,9,102.63,108.06,16,121.18,113.51,106.24,117.48,1.51,0,1,0,1,1,4,5,5,5,0,0,1,1,4,3,50,0,50,0,50,0,50,6,55,1,50,4,56,1,50,6,4,3,38,6,47,12,21,42,2,50,3,51,0,50,0,50,3,51,1,3,51,1,0,52.6,20,12,1.76,36,1537,8,8,8,5,7,50.6,42.8,59.9,55.1,54.7,49.9,46.8,56.4,57.7,51.9,48.4,52.9,51.9,52.2,50.1,35,29,34,15,33,4
100610,141.3166,132.4124,140.8151,146.5971,38,1240,111.11,96.12,196.88,196.88,184.38,171.88,146.88,146.88,39375,39375,39375,36875,24375,0.8016292,0.8687502,14,60,117,3,0,1,0.975,7,108.26,117.39,16,126.53,114.18,107.85,121.55,1.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,50,9,70,0,50,0,50,4,52,1,50,1,50,3,53,6,0,11,53,5,46,10,26,45,2,50,0,50,0,50,8,70,2,50,0,1,50,0,1,38.6,20,10,1.92,39,1590,8,8,8,8,7,47.5,49.1,43.4,49.6,55.3,44.2,37.8,53.2,60.1,46.8,55.1,44.9,53.5,38.5,54.1,29,33,36,7,15,4
101006,113.5374,101.1697,95.42348,69.45302,37,1579.5,90.59,71.99,140.63,96.88,115.63,46.88,40.63,40.63,36875,34375,34375,29375,28125,0.28379062,0.7830731,14,59,117,3,1,0.9833,0.975,15,84.01,93.9,12,101.85,92.33,96,106.53,1.24,0,5,1,1,1,0,0,0,0,0,0,1,0,5,2,50,0,50,0,50,0,50,0,50,4,52,2,52,0,50,5,3,2,36,6,47,5,13,36,2,50,2,50,0,50,0,50,2,50,2,1,50,0,0,38.6,20,12,1.8,30,2169.5,6,6,8,7,3,59,49,49.8,49.3,40.1,48.7,48.8,38.8,46.5,48.1,42,57.1,50.3,46.1,46.5,26,23,39,13,29,2
101107,119.2434,112.9757,119.8459,116.9699,30,1390,112.27,97.87,103.13,21.88,9.38,9.38,28.13,3.13,39375,39375,19375,19375,19375,0.088478126,0.5843752,23,55,113,7,5,0.9167,0.9417,8,123.73,130.38,12,107.04,96.19,85.72,98.19,1.85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,50,4,57,1,51,3,55,4,52,10,61,4,56,2,51,8,8,7,47,16,58,15,38,50,2,50,3,51,0,50,3,54,2,50,0,10,64,2,0,50.1,20,12,1.84,35,1880,7,7,8,8,5,51.9,52.3,77.2,48.4,61.4,48.1,51.9,68.4,47,61.3,59.2,66.5,52,63.8,43.7,26,35,37,12,28,9
101208,106.345,89.81669,103.737,84.01626,33,1770,107.8,96.97,190.63,196.88,190.63,96.88,96.88,96.88,39375,35625,35625,38125,19375,0.57962394,0.81796896,62,58,115,5,2,0.9667,0.9583,8,102.63,108.06,17,94.96,84.46,105.55,116.44,1.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,50,2,51,4,56,2,51,2,50,1,50,1,51,0,50,6,3,8,46,2,38,10,20,41,6,56,4,51,1,51,1,50,1,50,0,1,50,0,0,50.1,20,16,1.92,38,2070,7,8,8,8,7,56.9,43.3,61.1,65.4,61.2,51.7,43.9,55.7,45.6,55.8,42,37.5,54.7,58.4,55.3,30,37,34,15,28,6
101309,106.9173,92.68638,123.3551,121.3679,34,1248,105.28,87.33,171.88,96.88,196.88,171.88,190.63,196.88,34375,38125,38125,38125,38125,0.92194164,0.9497398,33,57,107,13,3,0.95,0.8917,7,108.26,117.39,16,113.67,103.37,96.8,109.4,1.33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,1,50,1,51,3,55,1,50,4,52,2,51,1,50,3,1,2,35,7,48,7,16,40,2,50,0,50,0,50,1,50,1,50,0,2,50,1,0,38.6,20,20,1.8,35,2002,7,5,8,7,8,38.3,36.6,54.3,43.3,40.1,38.5,42.9,62.4,48.5,71.6,52.8,53.3,46.4,45.2,35.9,32,22,36,2,26,5
101410,113.5714,101.2901,112.2394,99.97051,32,1470,104.06,91.83,121.88,9.38,3.13,28.13,3.13,3.13,31875,9375,9375,19375,4375,0.059441667,0.33737,18,59,101,19,1,0.9833,0.8417,7,107.32,112.89,16,108.46,100.58,88.77,99.42,1.19,1,1,0,1,0,0,0,0,0,0,0,1,0,2,4,51,2,51,0,50,2,52,4,52,1,50,1,50,0,50,9,4,6,45,2,38,15,23,44,3,51,2,50,0,50,4,57,3,51,2,1,50,1,0,50.1,20,16,1.8,35,1950,6,8,8,6,7,44.2,55.9,63.4,51.2,52.2,42.7,46,49.5,57.1,50,50.2,66.5,53.7,49.9,35.9,30,26,35,12,29,8
