"Subject_ID","Age","Gender"
100004,24,2
100206,27,2
100307,27,1
100408,33,2
100610,27,2
101006,35,1
101107,22,2
101208,35,1
101309,29,2
101410,29,2
101612,30,1
101915,35,1
102008,24,2
102109,27,2
102311,26,1
102513,30,2
102614,23,2
102715,26,2
102816,30,1
103010,25,2
103111,30,2
103212,34,2
103414,25,1
103515,28,1
103818,32,1
104012,26,1
104113,26,2
104416,31,1
104820,36,1
105014,29,1
105115,31,2
105216,27,2
105620,34,1
105923,33,1
106016,33,1
106218,28,2
106319,28,2
106521,29,1
106824,22,2
107018,26,1
107119,36,2
107220,26,1
107321,25,1
107422,22,2
107523,23,2
107725,35,1
108020,22,2
108121,27,1
108222,35,2
108323,27,1
108525,23,2
108828,32,2
109123,32,2
109325,31,2
109830,33,1
110007,33,1
110411,31,2
110613,29,2
111009,27,1
111211,28,1
111312,31,1
111413,28,1
111514,32,2
111716,32,1
112112,27,2
112314,30,1
112516,33,1
112819,29,1
112920,31,2
113215,26,1
113316,25,2
113417,30,1
113619,34,1
113821,26,1
113922,32,2
114116,30,1
114217,29,1
114318,22,1
114419,33,2
114621,29,2
114823,33,1
114924,28,2
115017,32,1
115219,33,2
115320,34,1
115724,23,1
115825,23,2
116120,34,1
116221,25,2
116322,35,1
116423,28,2
116524,27,2
116726,26,2
117021,30,1
117122,30,1
117324,24,1
117728,22,1
117930,33,1
118023,26,1
118124,34,1
118225,27,2
118528,29,1
118730,23,2
118831,22,2
118932,26,2
119025,29,2
119126,25,1
119732,33,1
119833,27,1
120010,26,1
120111,28,1
120212,33,1
120414,26,1
120515,26,1
120717,35,1
120818,25,2
121315,29,2
121416,26,2
121618,32,2
121719,33,1
121820,31,1
121921,34,2
122317,31,2
122418,29,1
122519,35,1
122620,26,2
122822,35,1
123117,29,2
123420,28,1
123521,22,2
123723,32,1
123824,23,2
123925,26,1
124220,33,2
124321,27,2
124422,31,1
124624,26,1
124826,32,1
125222,26,2
125424,33,1
125525,34,1
126325,28,1
126426,34,1
126628,33,2
126931,35,1
127226,25,2
127327,23,2
127630,25,1
127731,31,1
127832,35,1
127933,32,2
128026,30,1
128127,27,1
128329,35,1
128632,32,1
128935,34,2
129028,30,2
129129,33,1
129331,30,1
129432,23,2
129533,35,1
129634,22,2
129937,29,1
130013,26,2
130114,27,2
130316,27,1
130417,27,2
130518,32,1
130619,30,1
130720,34,2
130821,25,1
130922,31,1
131217,29,1
131419,28,1
131621,28,1
131722,28,1
131823,27,2
131924,22,2
132017,23,1
132118,26,1
132320,29,1
133019,26,1
133221,28,2
133625,30,2
133726,33,1
133827,25,2
133928,27,2
134021,32,1
134223,29,1
134324,30,2
134425,27,1
134627,27,2
134728,29,2
134829,35,1
135124,31,1
135225,22,1
135427,25,2
135528,26,1
135629,24,2
135730,23,2
135932,30,1
136126,27,2
136227,31,2
136328,26,2
136530,34,2
136631,25,2
136732,31,1
136833,33,2
137027,32,2
137128,31,1
137229,22,2
137431,35,1
137532,32,2
137633,23,1
137936,32,2
138130,33,1
138231,33,1
138332,29,2
138534,25,2
138837,23,2
139233,34,1
139435,28,1
139637,35,1
139839,26,2
140117,27,1
140319,36,1
140420,28,1
140723,31,2
140824,33,2
140925,25,1
141119,27,2
141422,33,1
141624,25,1
141826,27,1
142424,30,2
142828,31,2
143224,27,1
143325,32,1
143426,29,1
143527,27,2
143830,26,1
144125,33,1
144226,31,1
144428,25,2
144731,30,1
144832,22,1
144933,27,2
145127,23,2
145531,31,2
145632,27,2
145834,26,1
146129,24,2
146331,26,1
146432,34,2
146533,28,2
146634,27,1
146735,34,1
146836,28,2
146937,32,1
147030,29,2
147636,24,1
147737,34,1
148032,31,1
148133,26,1
148234,27,1
148335,31,1
148436,29,2
148840,23,1
148941,28,2
149236,23,1
149337,33,2
149539,24,2
149741,27,2
149842,32,1
150019,27,2
150423,30,1
150524,26,1
150625,28,2
150726,25,2
150928,25,2
151021,32,2
151223,26,1
151324,23,2
151425,26,1
151526,28,2
151627,30,1
151728,31,2
151829,31,1
151930,31,2
152225,35,2
152427,31,1
152831,29,2
152932,25,1
153025,22,1
153126,29,1
153227,31,1
153429,34,2
153631,23,1
153732,26,1
153833,23,1
153934,30,2
154229,23,1
154330,29,2
154431,28,1
154532,28,2
154734,34,2
154835,35,1
154936,27,2
155231,32,1
155635,28,1
155938,27,2
156031,30,1
156233,25,1
156334,27,1
156435,24,2
156536,22,2
156637,31,2
157235,34,2
157336,34,1
157437,29,1
157942,36,1
158035,30,1
158136,33,2
158338,24,2
158540,33,2
158843,29,2
159138,32,2
159239,32,1
159340,29,2
159441,27,1
159744,31,2
159845,33,1
159946,29,2
160123,32,2
160729,24,1
160830,28,1
160931,31,1
161327,30,1
161630,27,1
161731,35,1
161832,26,2
162026,31,1
162228,24,2
162329,28,1
162733,26,1
162834,28,1
162935,25,2
163129,28,2
163331,35,2
163432,34,1
163836,34,1
164030,32,2
164131,28,2
164636,24,2
164939,29,1
165032,24,2
165234,23,1
165436,27,2
165638,27,2
165840,35,2
165941,28,1
166438,32,2
166640,22,2
167036,30,1
167238,33,1
167440,30,1
167743,26,1
168038,28,2
168139,25,2
168240,26,2
168341,32,2
168745,22,1
168947,28,1
169040,23,2
169141,25,2
169343,33,1
169444,29,1
169545,22,2
169747,29,1
169949,29,2
170631,33,1
170934,28,1
171128,36,1
171330,27,2
171431,29,1
171532,33,1
171633,28,2
171734,28,1
172029,27,2
172130,28,2
172332,30,1
172433,23,2
172534,23,1
172635,31,2
172938,32,1
173132,31,2
173233,30,2
173334,28,2
173435,29,1
173536,35,1
173637,23,1
173738,32,2
173839,22,1
173940,27,1
174437,32,1
174841,23,2
175035,24,2
175136,22,1
175237,31,1
175338,22,1
175439,34,1
175540,32,2
175742,35,1
175944,29,2
176037,30,1
176239,33,2
176441,29,2
176542,28,1
176744,31,2
176845,26,1
177140,32,1
177241,27,2
177342,25,2
177645,29,1
177746,30,1
178142,26,1
178243,23,2
178647,35,1
178748,33,2
178849,24,2
178950,34,2
179043,27,1
179245,32,1
179346,27,1
179548,26,1
179952,27,1
180129,27,1
180230,27,1
180432,34,1
180533,31,1
180735,35,1
180836,33,1
180937,36,2
181131,33,1
181232,26,1
181636,33,1
182032,31,1
182436,35,1
182739,30,1
182840,31,2
183034,33,2
183337,35,1
183741,35,2
184642,34,1
185038,31,2
185139,31,1
185341,24,1
185442,22,2
185846,26,2
185947,29,1
186040,26,2
186141,31,2
186242,28,2
186444,25,1
186545,34,1
186848,28,1
186949,25,2
187143,28,2
187345,31,1
187547,32,1
187850,22,2
188145,32,1
188246,27,2
188347,28,1
188448,25,1
188549,23,2
188751,28,2
189349,26,1
189450,23,2
189551,34,1
189652,30,2
190031,27,1
190132,31,1
190940,34,2
191033,28,1
191235,24,2
191336,30,2
191437,35,1
191639,25,2
191841,26,1
191942,27,2
192035,30,1
192136,22,2
192237,35,1
192439,34,1
192540,28,1
192641,34,1
192843,28,2
193239,30,1
193441,28,2
193845,24,2
194140,30,1
194443,27,2
194645,27,2
194746,35,2
194847,34,1
194948,31,1
195041,31,1
195445,26,1
195647,35,1
195849,25,2
195950,30,2
196144,31,1
196346,27,2
196548,22,2
196750,26,1
196851,28,2
196952,29,1
197348,30,1
197449,23,1
197550,28,1
197651,31,1
197954,31,1
198047,30,1
198249,27,2
198350,31,2
198451,26,2
198653,23,2
198855,26,2
199150,28,1
199251,32,1
199352,25,1
199453,23,2
199554,32,2
199655,32,2
199958,31,2
200008,30,1
200109,32,1
200210,26,2
200311,34,2
200513,25,2
200614,32,1
200816,29,1
200917,23,1
201111,29,2
201414,22,1
201515,26,2
201717,22,2
201818,30,1
202113,23,1
202719,23,2
202820,36,1
203418,29,2
203721,33,1
203923,29,1
204016,25,1
204117,27,1
204218,29,2
204319,27,1
204420,28,1
204521,31,1
204622,30,1
205119,31,2
205220,30,1
205725,23,1
205826,31,2
206222,30,2
206323,33,1
206525,28,2
206727,25,2
206828,22,2
206929,33,2
207123,30,2
207426,27,2
207628,31,2
208024,34,1
208125,26,1
208226,24,1
208327,30,2
208428,32,1
208630,33,2
208832,34,1
209127,32,1
209228,29,1
209329,32,1
209531,36,1
209834,28,1
209935,24,2
210011,24,2
210112,25,2
210415,26,1
210617,32,1
211114,30,1
211215,29,2
211316,31,1
211417,36,2
211518,25,1
211619,27,2
211720,32,2
211821,28,2
211922,26,1
212015,25,2
212116,30,2
212217,23,1
212318,34,1
212419,29,1
212520,34,1
212823,23,2
212924,27,1
213017,25,2
213421,26,1
213522,26,2
214019,31,1
214221,25,1
214423,23,2
214524,24,2
214625,34,1
214726,23,2
217126,24,2
217429,33,1
218128,28,2
219231,27,2
220721,28,2
221218,29,1
221319,28,1
223929,31,2
224022,29,1
227432,32,2
227533,33,1
228434,24,1
230926,29,1
231928,30,1
233326,34,2
235128,28,1
236130,30,1
237334,23,1
238033,34,2
239136,30,1
239944,32,1
245333,31,1
246133,28,1
248238,33,1
248339,26,2
249947,32,1
250427,35,1
250932,32,1
251833,32,2
255639,27,1
255740,27,1
256540,22,1
257542,30,1
257845,26,2
257946,28,1
263032,24,1
263436,32,1
268749,29,2
268850,24,1
270332,31,2
274542,29,1
275645,24,2
280739,32,1
280941,29,1
281135,26,2
283543,25,2
284646,27,2
285345,33,1
285446,32,2
286347,30,1
286650,30,2
287248,30,1
289555,32,1
290136,28,1
293748,34,1
295146,27,1
297655,31,1
298051,31,1
298455,24,2
299154,24,2
299760,27,2
300618,22,2
300719,30,2
303119,30,1
303624,32,2
304020,35,2
304727,33,1
305830,25,1
307127,34,1
308129,24,2
308331,29,2
309636,29,1
310621,33,1
311320,27,2
314225,24,2
316633,27,1
316835,28,1
317332,28,2
318637,27,2
320826,32,1
321323,31,1
322224,31,1
325129,31,2
329440,30,2
329844,28,2
330324,27,2
333330,34,1
334635,24,1
336841,27,2
339847,29,1
341733,33,1
341834,26,2
341935,27,1
342129,27,2
346137,29,2
346945,23,1
348545,25,2
349244,26,2
350330,24,1
351938,25,1
352132,28,2
352738,34,2
353740,22,2
354439,30,1
354944,25,2
355239,26,1
355542,29,1
355845,29,1
356948,29,1
358144,30,1
360030,32,1
361234,35,1
361941,27,2
362034,32,1
365343,29,1
366042,26,1
366446,24,2
368551,27,2
368753,33,1
370740,27,1
371843,31,1
373039,26,1
376247,29,1
377451,26,1
378756,26,2
378857,33,1
379657,26,1
380036,28,2
381038,30,1
381543,24,1
382242,32,1
382545,34,2
384448,34,2
385046,28,2
385450,28,2
386250,24,2
387959,26,2
389357,28,1
390645,30,1
391748,31,1
392447,33,2
392750,32,2
393247,33,1
